title,price_sale,price_regular,url,image_url,out_of_stock,description,product_type,tags,variants,images
Natural Leather Ladies Clutch LC01,Rs.6500.00,Rs.10500.00,https://wolveyes.com/products/copy-ladies-crocodile-clutch,,False,"Exude sophistication and timeless elegance with the Ladies clutch . Designed for those who appreciate luxury and functionality, this wallet is a statement accessory crafted to keep your essentials organized in style. Premium Material : Made from high-quality crocodile-patterned leather for a rich, textured finish. Spacious Design : Features multiple compartments for cash, cards, IDs, and receipts, ensuring everything has its place. Long Silhouette : A sleek, elongated profile that fits comfortably in your hand or bag. Timeless Elegance : The crocodile pattern and meticulous craftsmanship add a touch of luxury to your everyday carry. Secure Closure : Designed with a durable snap or zip closure to keep your belongings safe.",mens,,Black | SKU: | Rs.6500.00 | Rs.10500.00 | Available:True | Inventory: || Blue | SKU: | Rs.6500.00 | Rs.10500.00 | Available:True | Inventory: || Red | SKU: | Rs.6500.00 | Rs.10500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-7952216.jpg?v=1751496040 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-2680222.jpg?v=1752061711 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-4623206.jpg?v=1752076008 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-7354415.jpg?v=1752076007 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-2692199.jpg?v=1752076008 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-9143920.jpg?v=1752061711 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-4879249.jpg?v=1752061711 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-2591858.jpg?v=1752061711 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-5093935.jpg?v=1752076008 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-9107216.jpg?v=1752076008 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-7048040.jpg?v=1752076007 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-8215966.jpg?v=1752076008 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-2352340.jpg?v=1752076041 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-3490070.jpg?v=1752076007 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-5012556.jpg?v=1752076008 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/natural-leather-ladies-clutch-2648214.jpg?v=1752076007
Crocodile Pattent Leather Tote Bag Pb01 (Mehroon),Rs.21800.00,Rs.36000.00,https://wolveyes.com/products/crocodile-pattent-leather-tote-bag-mustard-copy,,False,"Elevate your style with the Crocodile Patent Leather Tote Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go. Dimension : - Height: 9.5 inches / Width: 12 inches / Depth: 4.5 inches Handle drop: 5.5 inches Weight : 700 Gram",ladies,,Solid Maroon | SKU: | Rs.21800.00 | Rs.36000.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-952547.jpg?v=1753785710 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-232833.jpg?v=1753785710 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-174766.jpg?v=1753785710 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-694999.jpg?v=1753785710 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-381406.jpg?v=1753785710 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-567596.jpg?v=1753785710 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mehroon-465035.jpg?v=1753785710
Crocodile Pattent Leather Tote Bag Pb01 (MUSTARD),Rs.21800.00,Rs.36000.00,https://wolveyes.com/products/mc1116-010,,False,"Elevate your style with the Crocodile Patent Leather Tote Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go. Dimension : - Height: 9.5 inches / Width: 12 inches / Depth: 4.5 inches Handle drop: 5.5 inches Weight : 700 Gram",ladies,,Multicolor | SKU: | Rs.21800.00 | Rs.36000.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-362226.jpg?v=1745062911 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-207358.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-236354.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-715801.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-546220.jpg?v=1745062911 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-332887.jpg?v=1745062911 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-mustard-793959.jpg?v=1745062912
Crocodile Pattent Leather Tote Bag Pb01 (black),Rs.21800.00,Rs.29500.00,https://wolveyes.com/products/crocodile-pattent-ladies-hand-bag,,False,"Elevate your style with the Crocodile Patent Leather Tote Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go. Dimension : - Height: 9.5 inches / Width: 12 inches / Depth: 4.5 inches Handle drop: 5.5 inches Weight : 700 Gram",ladies,,Default Title | SKU: | Rs.21800.00 | Rs.29500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-378635.jpg?v=1745062914 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-518850.jpg?v=1745062915 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-139600.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-471823.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-471206.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-669218.jpg?v=1745062914 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-355477.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-997680.jpg?v=1745062914 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-black-418796.jpg?v=1745062914
Crocodile Pattent Leather Hand Bag Pb02  Black,Rs.16999.00,Rs.25999.00,https://wolveyes.com/products/crocodile-pattent-leather-hand-bag-brown-copy,,False,"Elevate your style with the Crocodile Patent Leather Hand Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go.",ladies,,Default Title | SKU:MC1116-010 | Rs.16999.00 | Rs.25999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-373568.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-735095.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-663475.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-307479.jpg?v=1744968499
Crocodile Pattent Leather Tote Bag Pb01 Brown,Rs.21800.00,Rs.29500.00,https://wolveyes.com/products/crocodile-pattent-leather-tote-bag-pre-order-only-copy,,False,"Elevate your style with the Crocodile Patent Leather Tote Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go. Dimension : - Height: 9.5 inches / Width: 12 inches / Depth: 4.5 inches Handle drop: 5.5 inches Weight : 700 Gram .",ladies,,Default Title | SKU: | Rs.21800.00 | Rs.29500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-brown-836037.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-brown-389088.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-tote-bag-brown-872231.jpg?v=1744968498
Ladies Natural Mild Leather Bag NM01 (Green),Rs.17500.00,Rs.22500.00,https://wolveyes.com/products/ladies-natural-mild-leather-bag-copy-1,,False,"Elevate your style with the Ladies natural mild leather bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality  leather with a glossy , this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go.",,,green | SKU: | Rs.17500.00 | Rs.22500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-301516.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-540468.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-221287.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-539602.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-949618.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-430100.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-818077.jpg?v=1745062913 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-251024.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-green-347959.jpg?v=1745145824
Crocodile Pattent Leather Hand Bag Pb02 Brown,Rs.16999.00,Rs.25999.00,https://wolveyes.com/products/crocodile-pattent-leather-hand-bag-copy,,False,"Elevate your style with the Crocodile Patent Leather Hand Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go.",ladies,,Default Title | SKU:MC1116-010 | Rs.16999.00 | Rs.25999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-349349.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-684376.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-413509.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-108104.jpg?v=1744968508
Ladies Tote Bag NM04,Rs.13999.00,Rs.22500.00,https://wolveyes.com/products/ladies-natural-mild-leather-bag-red-copy-1,,False,"Elevate your style with the Ladies natural mild leather bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality  leather with a glossy , this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go. DIMENSIONS: 16inch x 10.5inch x 4.5inch",,,Black | SKU: | Rs.13999.00 | Rs.22500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-7960693.jpg?v=1754810471 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-7428151.jpg?v=1754810432 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-9300215.jpg?v=1754810432 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-8625382.jpg?v=1754810433 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-4100072.jpg?v=1754810433 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-2406395.jpg?v=1754810430 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-5514534.jpg?v=1754810471 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-2279878.jpg?v=1754810432 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-5479569.jpg?v=1754810434 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-9244568.jpg?v=1754810431 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-7448547.jpg?v=1754810435 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-tote-bag-2505460.jpg?v=1754810431
Ladies Natural Mild Leather Bag NM01 (BLUE),Rs.17500.00,Rs.22500.00,https://wolveyes.com/products/ladies-leather-hand-bag-copy,,False,"Elevate your style with the Ladies natural mild leather bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality  leather with a glossy , this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go.",,,Blue | SKU: | Rs.17500.00 | Rs.22500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-359599.jpg?v=1745062911 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-948916.jpg?v=1748338609 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-861855.jpg?v=1748338609 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-757363.jpg?v=1745062912 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-383564.jpg?v=1745062911 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-602260.jpg?v=1745062911 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ladies-natural-mild-leather-bag-blue-130707.jpg?v=1745145826
