title,price_sale,price_regular,url,image_url,out_of_stock,description,product_type,tags,variants,images
Black fish Pattent Long Leather Wallet PLW02,Rs.5999.00,Rs.8999.00,https://wolveyes.com/products/black-crocodile-pattent-long-leather-wallet-copy,,False,"Elevate your accessory game with the luxurious Black Crocodile Patent Long Leather Wallet. Crafted from high-quality genuine leather, this sleek wallet boasts a striking crocodile-patterned finish that exudes sophistication and style. The glossy patent leather adds a touch of elegance, while the bold black hue ensures versatility, pairing effortlessly with any outfit.",,,Default Title | SKU: | Rs.5999.00 | Rs.8999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-fish-pattent-long-leather-wallet-698234.jpg?v=1744968502 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-fish-pattent-long-leather-wallet-336679.jpg?v=1744968502
Black Leather Jacket sf001,Rs.23999.00,Rs.29000.00,https://wolveyes.com/products/dark-brown-leather-jacket-sf002-copy-1,,False,"Embrace bold sophistication with the Ionic Black Leather Jacket, a perfect blend of sleek design and timeless edge. Crafted from high-quality black leather, this jacket offers a luxurious, supple feel while ensuring durability and long-lasting wear. The rich, deep black hue exudes versatility, allowing the jacket to pair effortlessly with any outfit, from casual to formal.",mens,,XSmall | SKU:LW0823-069 | Rs.23999.00 | Rs.29000.00 | Available:True | Inventory: || Small | SKU:LW0823-070 | Rs.23999.00 | Rs.29000.00 | Available:True | Inventory: || Medium | SKU:LW0823-071 | Rs.23999.00 | Rs.29000.00 | Available:True | Inventory: || Large | SKU:LW0823-072 | Rs.23999.00 | Rs.29000.00 | Available:True | Inventory: || XLarge | SKU:LW0823-073 | Rs.23999.00 | Rs.29000.00 | Available:True | Inventory: || 2XLarge | SKU:LW0823-074 | Rs.23999.00 | Rs.29000.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-leather-jacket-sf001-748768.jpg?v=1744968507 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-leather-jacket-sf001-654821.jpg?v=1744968507 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-leather-jacket-sf001-355367.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-leather-jacket-sf001-670694.jpg?v=1744968507 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/ionic-beidge-leather-jacket-sf005-431469.jpg?v=1744968506
Black Pattent Fish Leather  bifold Wallet FWB01,Rs.4999.00,Rs.6999.00,https://wolveyes.com/products/black-pattent-fish-leather-jacket,,False,"Step up your accessory game with the Black Patent Fish Leather Wallet a perfect blend of sleek elegance and distinctive texture. Made from high-quality fish leather with a glossy patent finish, this wallet features a unique, textured surface that sets it apart from conventional leather designs. The rich black color adds sophistication, while the shiny, reflective finish brings a modern edge.",,,Default Title | SKU: | Rs.4999.00 | Rs.6999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-pattent-fish-leather-bifold-wallet-5732080.jpg?v=1753153146 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-pattent-fish-leather-bifold-wallet-1105282.jpg?v=1753153146 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-pattent-fish-leather-bifold-wallet-8783578.jpg?v=1753153146 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/black-pattent-fish-leather-bifold-wallet-6261853.jpg?v=1753153146
Crazy Horse (RFID SAFE) Wallet RF01,Rs.4800.00,,https://wolveyes.com/products/crazy-horse-rfid-safe-wallet,,True,"Add a pop of personality to your accessories with the RFID SAFE Leather  Wallet . Crafted with premium materials and a sleek design, this wallet is the perfect balance of style and practicality for everyday use. Premium Leather : Made from high-quality genuine leather with a unique  finish for a warm and modern look. Classic Bifold Design : A timeless structure that opens to reveal ample storage for your essentials. Functional Layout : Includes multiple card slots, a cash compartment, and a secure ID window for convenience. Compact and Slim : Designed to fit comfortably in your pocket without bulk. Versatile Appeal : The mustard-brown hue adds a contemporary twist to a classic accessory, making it suitable for casual and formal settings.",,,Brown | SKU: | Rs.4800.00 |  | Available:False | Inventory: || Black | SKU: | Rs.4800.00 |  | Available:False | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-246804.jpg?v=1747229086 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-565847.jpg?v=1747229087 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-467334.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-256457.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-149580.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-174977.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-635814.jpg?v=1747229086 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-514343.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-821702.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-106798.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-281115.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-558898.jpg?v=1746686462 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-rfid-safe-wallet-577666.jpg?v=1746686462
Crazy Horse Bifold (RFID SAFE) Wallet RF02,Rs.4250.00,,https://wolveyes.com/products/crazy-horse-rfid-safe-wallet-copy,,True,"Add a pop of personality to your accessories with the RFID SAFE Leather Bifold Wallet . Crafted with premium materials and a sleek design, this wallet is the perfect balance of style and practicality for everyday use. Premium Leather : Made from high-quality genuine leather with a unique  finish for a warm and modern look. Classic Bifold Design : A timeless structure that opens to reveal ample storage for your essentials. Functional Layout : Includes multiple card slots, a cash compartment, and a secure ID window for convenience. Compact and Slim : Designed to fit comfortably in your pocket without bulk. Versatile Appeal :  The mustard-brown hue adds a contemporary twist to a classic accessory, making it suitable for casual and formal settings.",,,Brown | SKU: | Rs.4250.00 |  | Available:False | Inventory: || Black | SKU: | Rs.4250.00 |  | Available:False | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-4405565.jpg?v=1753733361 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-4659566.jpg?v=1753733296 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-3328352.jpg?v=1753733294 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-5836367.jpg?v=1753733362 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-1816544.jpg?v=1753733362 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-6804219.jpg?v=1753733360 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-9987549.jpg?v=1753733362 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-6821480.jpg?v=1753733360 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-1746373.jpg?v=1753733295 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-4491121.jpg?v=1753733297 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-7651284.jpg?v=1753733293 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-1208657.jpg?v=1753733360 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-rfid-safe-wallet-6428370.jpg?v=1753733362
Crazy Horse Bifold Wallet CHB01,Rs.3250.00,Rs.7500.00,https://wolveyes.com/products/fish-pattent-card-wallet-copy,,False,"Step up your accessory game with the Crazy horse bifold wallet , a perfect blend of sleek elegance and distinctive texture. Made from high-quality Leather Wallet with Crazy horse bifold wallet with a glossy , this wallet features a unique, textured surface that sets it apart from conventional leather designs. The rich black color adds sophistication, while the shiny, reflective finish brings a modern edge.",,,Black | SKU: | Rs.3250.00 | Rs.7500.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-wallet-804555.jpg?v=1745062909 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-wallet-149317.jpg?v=1745062909 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crazy-horse-bifold-wallet-252251.jpg?v=1745062909
Crocodile Pattent Leather Bifold Wallet PBW02,Rs.4999.00,Rs.6999.00,https://wolveyes.com/products/crocodile-pattent-leather-bifold-wallet,,False,"Unleash luxury with the Crocodile Patent Leather Bifold Wallet, a stunning accessory that blends timeless elegance with modern sophistication. Crafted from high-quality crocodile-patterned patent leather, this wallet features a sleek, glossy finish that immediately catches the eye. The textured design offers a bold yet refined aesthetic, while the rich tones add depth and style to any look.",mens,,black | SKU: | Rs.4999.00 | Rs.6999.00 | Available:True | Inventory: || solid-maroon | SKU: | Rs.4999.00 | Rs.6999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-5740575.jpg?v=1753733294 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-1932971.jpg?v=1753733295 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-5734232.jpg?v=1753733294 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-2159554.jpg?v=1753733294 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-2875114.jpg?v=1753733293 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-9063973.jpg?v=1753733295 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-1821321.jpg?v=1753733352 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-2465386.jpg?v=1753733293 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-9114508.jpg?v=1753733295 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-1911927.jpg?v=1753733294 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-bifold-wallet-3657073.jpg?v=1753733294
Crocodile Pattent Leather Card Wallet CPC01,Rs.3200.00,Rs.4200.00,https://wolveyes.com/products/crocodile-pattent-leather-bifold-wallet-copy,,False,"Unleash luxury with the Crocodile Patent Leather Bifold Wallet, a stunning accessory that blends timeless elegance with modern sophistication. Crafted from high-quality crocodile-patterned patent leather, this wallet features a sleek, glossy finish that immediately catches the eye. The textured design offers a bold yet refined aesthetic, while the rich tones add depth and style to any look.",mens,,black | SKU: | Rs.3200.00 | Rs.4200.00 | Available:True | Inventory: || solid-maroon | SKU: | Rs.3200.00 | Rs.4200.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-3332315.jpg?v=1753153150 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-8817773.jpg?v=1753153150 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-6793374.jpg?v=1753153150 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-4946508.jpg?v=1753153150 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-1043932.jpg?v=1753153150 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-5285463.jpg?v=1753153149 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-card-wallet-5882591.jpg?v=1753153150
Crocodile Pattent Leather Hand Bag Pb02  Black,Rs.16999.00,Rs.25999.00,https://wolveyes.com/products/crocodile-pattent-leather-hand-bag-brown-copy,,False,"Elevate your style with the Crocodile Patent Leather Hand Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go.",ladies,,Default Title | SKU:MC1116-010 | Rs.16999.00 | Rs.25999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-373568.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-735095.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-663475.jpg?v=1744968499 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-black-307479.jpg?v=1744968499
Crocodile Pattent Leather Hand Bag Pb02 Brown,Rs.16999.00,Rs.25999.00,https://wolveyes.com/products/crocodile-pattent-leather-hand-bag-copy,,False,"Elevate your style with the Crocodile Patent Leather Hand Bag, a statement piece that combines luxury, durability, and sophistication. Crafted from high-quality crocodile-patterned leather with a glossy patent finish, this tote exudes bold elegance, making it the perfect accessory for both professional and casual settings. The rich texture and shiny surface add depth and refinement, ensuring this bag stands out wherever you go.",ladies,,Default Title | SKU:MC1116-010 | Rs.16999.00 | Rs.25999.00 | Available:True | Inventory:,https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-349349.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-684376.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-413509.jpg?v=1744968508 | https://cdn.shopify.com/s/files/1/0696/6106/5406/files/crocodile-pattent-leather-hand-bag-brown-108104.jpg?v=1744968508
